D-RANK,Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,when
1,EASY,Count Operations to Obtain Zero,81.5,0.7488952285059014,https://leetcode.com/problems/count-operations-to-obtain-zero,"Math, Simulation",6
1,EASY,Palindrome Number,58.8,0.5922453846017719,https://leetcode.com/problems/palindrome-number,Math,6
1,EASY,Best Time to Buy and Sell Stock,50.5,0.5525965239541591,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming",6
1,EASY,Add Strings,50.5,0.5190382397212994,https://leetcode.com/problems/add-strings,"Math, String, Simulation",6
2,MEDIUM,Simple Bank System,100,0.6142935665806328,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation",6
2,MEDIUM,Spiral Matrix,94.7,0.5393976057408939,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation",6
2,MEDIUM,Minimum Operations to Write the Letter Y on a Grid,87.5,0.6194290206869442,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting",6
2,MEDIUM,Candy Crush,79.1,0.7736899161778655,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation",6
2,MEDIUM,Number of Black Blocks,73.2,0.3861547271028601,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration",6
2,MEDIUM,Rotating the Box,73.2,0.7909813050714205,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix",6
2,MEDIUM,Simplify Path,64.8,0.47854346003751436,https://leetcode.com/problems/simplify-path,"String, Stack",6
2,MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,64.8,0.5675056206933196,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue",6
2,MEDIUM,Number of Subarrays That Match a Pattern I,64.8,0.6684595198334382,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i,"Array, Rolling Hash, String Matching, Hash Function",6
2,MEDIUM,Rotate Image,50.5,0.7790165261990751,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix",6
2,MEDIUM,Number of Adjacent Elements With the Same Color,50.5,0.5575544433923982,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array,6
2,MEDIUM,Merge Intervals,50.5,0.4939526057316443,https://leetcode.com/problems/merge-intervals,"Array, Sorting",6
2,MEDIUM,LRU Cache,50.5,0.45214576213144547,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List",6
3,HARD,Block Placement Queries,90.7,0.168902023,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree",6
3,HARD,Count Prefix and Suffix Pairs II,69.4,0.2720387820263219,https://leetcode.com/problems/count-prefix-and-suffix-pairs-ii,"Array, String, Trie, Rolling Hash, String Matching, Hash Function",6
3,HARD,Text Justification,64.8,0.48149935664104093,https://leetcode.com/problems/text-justification,"Array, String, Simulation",6
3,HARD,Largest Rectangle in Histogram,58.8,0.4737767587697204,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack",6
1,EASY,Binary Tree Paths,49,0.6656317661585257,https://leetcode.com/problems/binary-tree-paths,"String, Backtracking, Tree, Depth-First Search, Binary Tree",7
1,EASY,Count Prefix and Suffix Pairs I,40.8,0.7768949245817506,https://leetcode.com/problems/count-prefix-and-suffix-pairs-i,"Array, String, Trie, Rolling Hash, String Matching, Hash Function",7
1,EASY,Valid Parentheses,40.8,0.42322837860550094,https://leetcode.com/problems/valid-parentheses,"String, Stack",7
1,EASY,Merge Two Sorted Lists,40.8,0.6684089638470286,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion",7
1,EASY,Roman to Integer,40.8,0.6486629287856299,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String",7
2,MEDIUM,Count Alternating Subarrays,75.3,0.5631657997941757,https://leetcode.com/problems/count-alternating-subarrays,"Array, Math",7
2,MEDIUM,Four Divisors,73.4,0.4481659161589702,https://leetcode.com/problems/four-divisors,"Array, Math",7
2,MEDIUM,Find the Length of the Longest Common Prefix,59.3,0.564161205,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie",7
2,MEDIUM,Coin Change,54.8,0.4649545396006711,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search",7
2,MEDIUM,Design File System,54.8,0.6413755041392486,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie",7
2,MEDIUM,Word Search,54.8,0.4526692829987259,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix",7
2,MEDIUM,Number of Islands,49,0.6231993887316181,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",7
2,MEDIUM,Add Two Numbers,49,0.4622508570031808,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion",7
2,MEDIUM,Non-overlapping Intervals,49,0.5550284035532288,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting",7
2,MEDIUM,Meeting Rooms II,40.8,0.5214162081616772,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum",7
2,MEDIUM,Rotate Array,40.8,0.4302138037383672,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers",7
2,MEDIUM,Minimum Absolute Difference Between Elements With Constraint,40.8,0.3406636948984646,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set",7
2,MEDIUM,K-diff Pairs in an Array,40.8,0.4465086848861965,https://leetcode.com/problems/k-diff-pairs-in-an-array,"Array, Hash Table, Two Pointers, Binary Search, Sorting",7
2,MEDIUM,Best Time to Buy and Sell Stock II,40.8,0.6950027561938028,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy",7
2,MEDIUM,Get Biggest Three Rhombus Sums in a Grid,40.8,0.49266961268520926,https://leetcode.com/problems/get-biggest-three-rhombus-sums-in-a-grid,"Array, Math, Sorting, Heap (Priority Queue), Matrix, Prefix Sum",7
3,HARD,Split Message Based on Limit,68.9,0.4261603375527427,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration",7
3,HARD,Number of Flowers in Full Bloom,59.3,0.5717535511066795,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set",7
3,HARD,Remove Boxes,59.3,0.48292462220613513,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization",7
3,HARD,Word Search II,49,0.3732633211647155,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix",7
3,HARD,Reverse Nodes in k-Group,40.8,0.6304370358627922,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion",7
